Title,Organizations,Publication Year,Abstracts
The influence of different crystal modifiers on ultra-low embodied energy curing fiber-reinforced cement composites,"Kasetsart University, UAC Global Public Company Limited, Thammasat University, Michigan Technological University, Chulalongkorn University",2023,"© 2022,Journal of Metals, Materials and Minerals. All Rights Reserved.Fiber-reinforced cement composites (FRCC) are widely used in the construction of houses and commercial buildings in many countries such as the United States, the United Kingdom, the European countries, and the Asian countries such as China, India, and Thailand. Conventionally, the FRCC is manufactured from Portland cement, silica sand, and cellulose fiber using the so-called autoclaved curing under a designate hydrothermal condition to accelerate the hydration reaction resulting in superior properties. However, the autoclave-curing process needs a huge investment and generates highly environmental impact specially greenhouse gases due to its heavy energy consumption. Hence, this research aims to develop the FRCC with lowering embodied energy via the energy-free moisture curing process. The use of different crystal modifiers (CM) including synthetic tobermorite, aluminosilicate complex, and modified lithium compound in addition of the usual FRCC composition to drive the hydration kinetic and then properties achieved were characterized by the relevance of higher heat of hydration. Moreover, scanning electron microscope (SEM) were used to reveal the favorable effects of appropriate CM through the microstructure. The results approved that the FRCC with qualified mechanical performance and densified microstructure was successfully produced by using the appropriate moisture curing condition and CM. Additionally, using alumino-silicate complex as CM at 3% of cement weight produced FRCC with the highest modulus of elasticity of 9,067 ± 492 MPa, and the lowest % water absorption of 27.42 ± 1.65 %."
Methanation Process for Methane Synthesis from Waste Gas: Process Simulation,"Burapha University, Chulalongkorn University, King Mongkut's Institute of Technology",2022,"Copyright © 2022, AIDIC Servizi S.r.l.Waste gas from the fermentation of bioethanol production consists of high carbon dioxide concentration. The CO2 emissions cause global climate change. The conversion of carbon dioxide to chemical products or fuels is an interesting solution for reducing the amount of carbon dioxide emissions. The methane synthesis via carbon dioxide methanation reaction has attracted much attention. The suitable operation of the methanation process for methane synthesis from waste gases should be studied. This work aims to investigate the methane production from the waste gas of the fermentation process. The composition of impurities in waste gases on the performance of the methanation process is investigated. The effects of hydrogen to carbon dioxide ratio and operating temperature on the carbon dioxide conversion and methane yield of the methanation are also studied. The simulation results from the thermodynamic analysis show that the methane yield of the methanation from waste gases is 3.11 - 4.61 % higher than that from pure carbon dioxide in the temperature range of 300 - 500 °C. The methane yield of the methanation process decreases with increasing temperature. The increase in the hydrogen to carbon dioxide ratio of 1 to 4 and the operating pressure of 1 to 8 bar have a significant effect on the enhancement of carbon dioxide conversion and methane yield."
Complete design case study for pulp and paper industry,"King Mongkut's Institute of Technology Ladkrabang, Chulalongkorn University, Chulalongkorn University, PSE for SPEED Company Limited, Chulalongkorn University",2022,"© 2022 Elsevier Inc. All rights reserved.Pulp and paper industry is a traditional biorefinery system that produces low margin paper products at low innovation development. It needs business transformation to enhance profitability along with efficient material and energy consumption through process development of high-value bioproducts. In response to climate change concerns and declining petroleum resources, the concept of biorefinery has developed using biochemical and thermochemical technologies. To develop biorefinery together with the conventional pulp and paper industry, integrated biorefinery in the existing pulp mill has been designed as a long-term sustainable solution. A systematic framework is needed to synthesize and design promising integrated systems from numerous alternatives. A three-level methodology, involving Level-1 Base Case Design, Level-2 Optimization and Analysis, and Level-3 Innovation, is proposed as an effective approach to determine optimal technologies suitable for the transformation of the traditional system through superstructure optimization, process analysis, and process improvement in terms of economic and environmental issues. To achieve a sustainable development of the integrated biorefinery system, innovative alternatives are discovered to satisfy improvement targets. Computer-aided tools are employed to support systematic data collection, mathematical model formulation, and complicated problem solving. Case studies of synthesis, design and innovation tasks illustrating the application of the framework to obtain promising integrated pulp mill-biorefinery alternatives are presented."
P2P Energy Trading: An Optimal Solution for Energy Shortage in Pakistan,"Department of Electronics and Power Engineering, School of Mechanical and Electrical Engineering, Department of Avionics Engineering, Department of Electrical Engineering",2023,"© 2013 IEEE.Green energy can help in protecting the environment. Moreover, its continuous supply increases the quality of life and indeed the economic development of a country. The power sector in Pakistan is continuously under stress due to the imbalance between the demand and supply of energy. Pakistan has abundant renewable energy resources, i.e., solar, hydro, wind, etc., which are the main elements of green energy. This study first evaluates the existing power sector in Pakistan. Then, we proposed a peer-to-peer energy trading framework that helps in reducing the stress on the power sector in Pakistan by meeting the local energy demands of the consumers with the help of local energy generation. In the proposed peer-to-peer energy trading market, a novel method for determining the uniform energy trading price is proposed. This proposed pricing method increases the utilities of the market participants i.e., saving in energy bills for consumers and profitability for the sellers. The proposed study assumes that solar energy is provided from the energy producer side. Solar energy penetration on various ratios starting from 14% to 35% is tested on environment and consumer satisfaction levels. We conducted comprehensive experiments to validate the proposed method and the results suggest that a 35% penetration of solar in each subdivision can be helpful to decrease the current stress on Pakistans' power sector. Furthermore, it also helps in reducing the carbon emission footprint."
Technical insights into carbon dioxide sequestration by microalgae: A biorefinery approach towards sustainable environment,"Bharathiar University, University Kebangsaan Malaysia, Chulalongkorn University",2022,"© 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.The escalating level of greenhouse gases in the atmosphere poses a severe environmental issue. Vital steps have to be taken to ensure that this emission of gases is reduced to acceptable levels. One such way is CO2 sequestration using microalgae. Microalgae is a simple photosynthetic microorganism that could be a group of unicellular or simple multicellular forms that can fix this atmospheric CO2 or from many other sources such as exhaust gases to minimize the amount released to the air. This review deals with different designs of microalgae photobioreactors and the production of valuable biomass, which may help in the study of implementing a better, larger, and economically sustainable system to sequester a much amount of CO2 and the wide range of value-added products with harvested biomass. In addition, physicochemical factors’ influence on photobioreactor configurations for improvement of biomass productivity and CO2 sequestration are also discussed. Moreover, algal bio-refinery idea is introducing a variety of industrial applications and makes this more economic feasibility of CO2 sequestration."
Enhanced Virtualization-Based Dynamic Bin-Packing Optimized Energy Management Solution for Heterogeneous Clouds,"Chitkara University, KIET Group of Institutions, Taif University, Govt. Bikram Colleges of Commerce, LBEF Campus, Chulalongkorn University",2023,"© 2022 Neha Gupta et al.Cloud computing provides unprecedented advantages of using computing resources with very less efforts and cost. The energy utilization in cloud data centers has forced the cloud service providers to raise the expense of using its services and has increased the carbon footprints in the environment. Many static bin-packing algorithms exist which can reduce energy by some percentage, but with new era of digitization, advanced and dynamic techniques are required which can serve heterogeneous users and random users' requests. Thus, in this paper, two new dynamic best-fit decreasing-based bin-packing algorithms are proposed wherein the first technique is for service providers and focuses on increasing server utilization and the second approach acts as a switcher to harness best results among all algorithms. Both techniques deliberately achieve high performance in terms of total energy consumption, resource utilization, and makespan along with serving continuous and varying requests from customers. The simulations are performed using Java. The results exhibited that DEE-BFD can escalate resource utilization by 96% and EM switcher can reduce total energy consumption by 49% and reduce makespan by 56%."
PTAD: A web-based climate service for building design adaptation,"Maejo University, Chulalongkorn University, Royal Irrigation Department",2022,"© 2021Projections Tool for Architectural Design (PTAD) is a web-based climate service product available at www.ptad.mju.ac.th. Targeted at building owners and designers, it is intended to support these decision makers in building design to reduce the impacts of climate change. This study presents the technical environment of PTAD and provides a conceptual basis for linking academic information on climate change to building-related data with the cooperation of the relevant authorities. The PTAD development concept was divided into three parts: climate change impact assessment in small areas (i.e., at a construction site scale), building damage analysis of the impacts, and climate-resilient recommendations for building design. Tools such as GIS, HEC-RAS, and ERDAS and the existing outputs of regional climate models were used as the baseline data for analyzing the impacts that may occur at the study site. The impacts in small areas and design strategies to reduce the potential damage were analyzed with the Delphi technique using existing standards and guidelines. A 3-tier architecture was employed for the production and development environments by modularizing the user interface, service object, and data storage layers. The impact data values, namely, the highest annual surface temperatures and flood characteristics, including the maximum flood level, flood duration, and water velocity from 1998 to 2047, were displayed as markers on the satellite maps, tables, and figures. The impacts can be linked to architectural design guidelines to help design buildings that mitigate some of the impacts of climate change."
"Strategies for the renovation of old shophouses, built during the 1960s and 1970s in Bangkok (Thailand), for mass adoption and application",Chulalongkorn University,2022,"© 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group on behalf of the Architectural Institute of Japan, Architectural Institute of Korea and Architectural Society of China.This research aimed at developing strategies for the renovation of old shophouses in Bangkok ready for mass adoption and application. Shophouses were built with typical designs in a massive number in Bangkok during the 1960s and 1970s. They are now deteriorating, but still occupy a great proportion of the land near the city center. To make shophouse renovation easy for mass adoption and application will allow Bangkok’s population to have more choices of housing that suit their lifestyle and support their wellbeing. It challenges the mainstream perception of seeing only the choices of living in a condominium near the center or in a suburban house. By observation and literature review, the research categorized typical features and problems of old shophouses into four groups; (i) space and form, (ii) climate, (iii) wellbeing, and (iv) construction. After case studies, designing, and constructing a prototype renovation design, the research concluded with design strategies to increase the space flexibility, climatic responsiveness, safety, aesthetics, and hygiene. Taking procedural and legal limitations, and the minimal involvement of professionals and the authority into account, maintaining particular features of existing buildings as much as possible and adding new features as little as possible were also suggested. These strategies would promote mass renovation of shophouses. By reducing demolition and supporting urban redevelopment, they would potentially help reviving urban heritage and reducing carbon footprint."
"Aromaticity, polarity, and longevity of biochar derived from disposable bamboo chopsticks waste for environmental application","Chulalongkorn University, Pa-deng Biochar Research Center",2023,"© 2023 The AuthorsTransforming disposable bamboo chopstick (DBC) wastes into biochar is an effective way to achieve waste-to-resource conversion. This research focused on the elemental and chemical composition of biochar and revealed how these properties affect biochar performance in real-world applications, particularly with respect to climate change mitigation. This research is aimed at examining the effect of pyrolysis temperature on the aromaticity, polarity, and longevity of DBC biochar. The DBC feedstock was pyrolyzed at different temperatures of 400 °C, 450 °C, 500 °C, and 550 °C with a holding time of 20 min at a constant heating rate of 20 °C min−1. The chemical composition, including carbon (C), hydrogen (H), nitrogen (N), oxygen (O), volatile matter (VM), ash, and fixed carbon (FC) contents, were analyzed. The aromaticity, polarity, and longevity of biochar are presented by the atomic ratios of H/C, O/C, (O + N)/C, and C/N, and these ratios are used to determine the potential of biochar for use in climate change mitigation applications. The findings demonstrated that DBC biochar produced at various pyrolysis temperatures contained C contents ranging from 77.54% to 88.06%, ash contents ranging from 2.62% to 2.99%, and a half-life of over 1000 years (O/C < 0.2). Pyrolysis temperature significantly affected biochar properties, as supported by the results for the FC/ash ratio (>10); the ash, FC, C, and N contents increased with increasing temperature; in contrast, the VM, H, and O contents decreased. The results revealed that DBC wastes are the potential feedstock to produce good-quality biochar that could be applied for environmental purposes. Furthermore, the research demonstrated that the best-performing DBC biochar was produced at 500 °C, which had the highest C content, aromaticity, and longevity and the lowest polarity as represented by the values of O/C, H/C, and (O + N)/C, and this biochar could be applied for climate change mitigation purposes."
Can 210Pb be used as a paleo-storm proxy?,"Florida State University, Chulalongkorn University, Chulalongkorn University, National High Magnetic Field Laboratory",2023,"© 2023 Elsevier LtdThere is increasing interest within the scientific community, as well as the public, to determine if tropical cyclones are increasing in frequency and/or magnitude because of climate change. Unfortunately, the instrumental weather record only extends over the last 100–150 years depending upon location. It is thus desirable to develop paleo-storm proxies to extend the tropical cyclone record to hundreds, if not thousands, of years. Overwash sand deposits, sediment grain size, and various geochemical parameters (e.g., δ13C, δ15N, C/N) have been applied successfully for coastal lake sediments. We present here another potential proxy candidate, the natural radionuclide 210Pb. With a 22.2-year half-life, 210Pb age dating is often used to calibrate other proxies over essentially the same period as the instrumental storm record. We hypothesize here that trends in the 210Pb profiles, in addition to providing chronological information, can provide independent records of storm deposits in some situations. To illustrate how 210Pb may serve as an additional storm proxy, we present data from sediment cores collected from the Chao Phraya Delta (Upper Gulf of Thailand), an area characterized by a rapidly retreating shoreline. Some of the 210Pb profiles mark sedimentary layers with anomalously low excess 210Pb activities interspersed between layers with significant excess activities. We suggest that these layers may result from rapid deposition offshore of older storm-eroded shoreline material. The estimated ages of these 210Pb-deficient layers match, within estimated uncertainties, years when typhoons or tropical storms are reported to have severely eroded the nearby Thai coastline. The matching of the time scales of 210Pb and recorded tropical cyclones, both about 100–150 years, allows this approach to be used to explore for storm deposits and tune geochemical and other proxies for extended study over time scales of several decades or longer."
"Carbon emissions, corporate governance, and hostile takeover threats","Chulalongkorn Business School, NTNU Business School, Chulalongkorn University, The University of Western Australia, Pennsylvania State University",2023,"© 2022 The Authors. Business Strategy and The Environment published by ERP Environment and John Wiley & Sons Ltd.Exploiting a unique measure of takeover vulnerability principally based on state legislations, we investigate how corporate carbon reduction efforts are influenced by the takeover market, which is widely regarded as a crucial instrument of external corporate governance. Our results show that more takeover exposure brings about significantly greater efforts to reduce carbon emissions. A rise in takeover susceptibility by one standard deviation improves carbon reduction performance by 12.81%. The findings corroborate the notion that the takeover market, acting as an external governance mechanism, compels managers to adopt policies that benefit shareholders in the long run. Our results imply that carbon emissions are a crucial corporate outcome as it is subject to the pressure from the takeover market. Companies should pay a close attention to this matter. Further analysis robustly validates the results, including propensity score matching, entropy balancing, an instrumental variable analysis, and heteroscedastic identification. Our measure of takeover vulnerability is plausibly exogenous and thus probably reveals a causal effect, rather than a mere association."
"Efficient, Green, and Low-Cost Conversion of Bivalve-Shell Wastes to Value-Added Calcium Lactate","King Mongkut’s Institute of Technology Ladkrabang, King Mongkut’s Institute of Technology Ladkrabang, King Mongkut’s Institute of Technology Ladkrabang, King Mongkut’s Institute of Technology Ladkrabang, King Mongkut’s Institute of Technology Ladkrabang, Chulalongkorn University, King Mongkut’s Institute of Technology Ladkrabang, King Mongkut’s Institute of Technology Ladkrabang, King Mongkut’s Institute of Technology Ladkrabang",2023,"© 2023 The Authors. Published by American Chemical SocietyThis work presents the efficient, green, and low-cost preparation of calcium lactate by using bivalve-shell wastes (cockle, mussel, and oyster shells) as raw materials. Three bivalve shells, a cockle, mussel, and oyster, were used separately as an alternative calcium-source material for the preparation of calcium lactate. The bivalve-shell waste was cleaned and milled, obtaining calcium carbonate (CaCO3) powder, which reacted to the lactic acid, forming calcium lactate. The effects of different calcium sources (cockle, mussel, and oyster) and different lactic acid concentrations (6, 8, and 10 mol/L) on the physicochemical properties of the synthesized calcium lactates were then investigated. The results pointed out that the highest solubility of the product was observed when 6 mol/L lactic acid and cockle-shell derived CaCO3 were employed for the calcium lactate preparation. The thermal decompositions of all calcium lactates occurred in three processes: dehydration, ethyl-lactate elimination, and decarbonization, respectively. The results, obtained from an infrared spectrometer, X-ray diffractometer, thermogravimetric analyzer, and scanning electron microscope, confirmed the formation of calcium lactate pentahydrate (Ca(CH3CHOHCOO)2·5H2O). The diffractograms also indicated the presence of two enantiomers of Ca(CH3CHOHCOO)2·5H2O, namely, of dl- and l-enantiomers, which depended on the lactic acid concentration used in the preparation process. The morphologies of calcium lactates show the firewood-like crystals in different microsizes, together with smaller irregular crystals. In summary, this work reports an effective process to prepare the valuable calcium lactates by using the cheap bivalve-shell-derived CaCO3 as a renewable calcium source."
Enhanced CO2 desorption rate for rich amine solution regeneration over hierarchical HZSM-5 catalyst,"Hunan University, Chulalongkorn University",2023,"© 2023 Elsevier B.V.High energy consumption during the carbon dioxide (CO2) desorption process in amine-based CO2 capture technology is a crucial hindrance to achieving carbon neutrality. HZSM-5 is one of the most widely reported solid acid catalysts used in primary amine regeneration. This work compared a series of HZSM-5 zeolites with different Si/Al ratios in terms of CO2 desorption performance. To further enhance catalytic activity, hierarchical HZSM-5 was synthesized by the dealumination and desilication re-assembly method with different acid and alkali concentrations. The experimental results suggested that desilication by modification in sodium hydroxide resulted in a significant improvement of mesoporous surface area. The NaOH-0.4 catalyst could improve the amount of desorbed CO2 by 40.3% and decrease the relative heat duty by 28.5%. And the cyclic tests revealed that catalytic activity was well preserved in the recycling process. Moreover, the structure and acidity of modification samples were characterized by X-Ray diffraction (XRD), Fourier transforms infrared (FT-IR), Nitrogen adsorption–desorption experiment, temperature programmed desorption of ammonia (NH3-TPD), Pyridine-adsorption infrared spectroscopy (Py-IR), and scanning electron microscopy (SEM). The characterization results suggested that the synergistic effect of larger mesoporous surface area and total acid sites was important to enhance catalytic CO2 desorption performance. These results showed a new understanding of catalyst design for CO2 capture technology by modifying the structure of the catalyst support."
Climate change and food security at household level in the central dry zone in Myanmar,Chulalongkorn University,2023,"© 2023, Emerald Publishing Limited.Purpose: The central dry zone of Myanmar is a climatic risk area in which the inhabitants are experiencing food insecurity, demonstrating the link between water scarcity and climate risk in agricultural production. Households in the region face the challenge of developing adaptation strategies to cope with the impact of climate change on food security. This study aims to seek an effective climate change solution and analyse its impact on Myanmar's food security and household adaptation. Design/methodology/approach: The authors draw on insights from mixed-method research using a qualitative method followed by quantitative methods. In the qualitative phase, the authors used purposive sampling with two focus group discussions and three stakeholder interviews. In the quantitative phase, data were collected from 102 face-to-face interviews with members of households selected from Pauk Township, Pakokku District, Magway Region, Myanmar. The household food insecurity access scale (HFIAS) was used in the analysis. Findings: The HFIAS indicated that 13% of households have adapted to climate change. The study illustrates that climate change adaptation strategies in production activities are related to food insecurity. The results further demonstrated the effect of climate change on crops, which impacts debt, access to food, selling assets and urban migration. The findings also suggest that climate change adaptation to improve food security has played an important role in providing outside support, which leads to household food insecurity. Originality/value: To the authors' best knowledge, the study is one of the first to use mixed-method research to investigate climate change, food security and household adaptation in the central dry zone of Myanmar."
Fundamental Shift From Summer to Winter of Holocene Rainfall Regime in the Tropics,"Chinese Academy of Sciences, China-Pakistan Joint Research Center on Earth Sciences, Nanjing University of Information Science and Technology, Chulalongkorn University, Tianjin University, Xi'an Jiaotong University, CMA Earth System Modeling and Prediction Centre, Chinses Academy of Meteorological Sciences, The Ohio State University",2023,"© 2023. The Authors.The seasonal rainfall regime is a key factor control on local ecological and social processes and is commonly thought to be stable under long-term climate changes. Here we present a unique high-resolution rainfall record from the Thai-Malay Peninsula, combined with a state-of-the-art transient climate simulation, demonstrating a fundamental rainfall regime shift from summer to winter during the Holocene. Transient model simulation and new sensitivity experiments further reveal that westward migration of the boundary between summer and winter rainfall regimes results in a summer to winter rainfall regime shift forced by distinct changes in summer and winter monsoons. Our findings suggest that the seasonal rainfall regime could be unstable under climate change around the boundaries of rainfall regimes in the tropics and possibly worldwide, which might be more critical for shaping both past and future ecological environments."
Assessment on Energy Technology Toward Carbon Neutrality Policy Using Multi-Criteria Decision Analysis: A Case of Thailand,Chulalongkorn University,2023,"© 2023, Econjournals. All rights reserved.The assessment of greenhouse gas (GHG) mitigation technologies creates a knowledge database to support a national strategy to meet Thailand’s GHG emission reduction target. Such a database also makes important contributions to the formulation of research policy and the country’s broader technological development. Thailand needs a strong technological base in order to meet its national policy targets and international obligations for reducing GHG emissions, as well as to reduce the negative effects of economic activity on society and the environment and to create additional value. The goal of this study is to prioritize energy technologies so that Thailand can achieve its carbon neutrality goal by the year 2050. Multi-criteria decision making is applied with quantitative data on GHG mitigation options. Decisions are made based on the technology’s readiness and level of its impact on economic, social and environmental development. Critical issues representing needs and barriers for selected key technologies are analyzed. The results indicate that solar energy and electric vehicle are selected as having the highest priority, followed by energy efficiency and other renewable energy sources. Carbon capture, utilization and storage (CCUS), green hydrogen, and carbon sinks are the last choices with high uncertainty about commercialization."
"Towards sustainability through the circular economy of plastic packaging waste management in Rayong Province, Thailand","Chulalongkorn University, King Mongkut’s University of Technology Thonburi, Tokyo Institute of Technology, Chulalongkorn University",2023,"© 2023, The Author(s), under exclusive licence to Springer Nature Japan KK, part of Springer Nature.The circularity of plastic packaging waste (PPW) material via recycling is critical to its circular economy towards sustainability and carbon neutrality of society. The multi-stakeholders and complex waste recycling loop of Rayong Province, Thailand, is herein analysed using an actor-network theory to identify key actors, roles, and responsibilities in the recycling scheme. The results depict the relative function of three-actor networks, namely policy, economy, and societal networks, which play different roles in PPW handling from its generation through various separations from municipal solid wastes to recycling. The policy network comprises mainly national authorities and committees responsible for targeting and policymaking for local implementation, while economic networks are formal and informal actors acting for PPW collection with a recycling contribution of 11.3–64.1%. A societal network supports this collaboration for knowledge, technology, or funds. Two waste recycling models are classified as community-based and municipality-based management, which functions differently by coverage areas, capabilities, and process efficiency. The economic reliability of each informal sorting activity is a crucial factor for sustainability, while empowering people in environmental awareness and sorting ability at the household level is also essential, as well as law enforcement that is effective in the long-term circularity of the PPW economy."
How susceptible are rainbow trout and brown trout to infection with tilapia lake virus at increased water temperature – Is there any potential for climate change driven host jump?,"University of Veterinary Medicine Hannover, National Veterinary Research Institute, Kasetsart University, Jagiellonian University, Miguel Hernández University (UMH), Chulalongkorn University, Mansoura University, International Centre of Excellence for Aquatic Animal Health",2023,"© 2023In poikilothermic animals like fish, outbreaks of pathogen-related diseases are closely related with the temperature of the surrounding environment. Many salmonid fish species are thermally sensitive and therefore are especially endangered by thermal stress and habitat loss caused by increasing temperatures during summer heat waves. We hypothesized that combining thermal stress and the presence of a novel viral pathogen from for example aquaculture effluents may result in a potential host jump of the pathogen. This could be one of the mechanisms leading to an increased vulnerability of salmonids to a novel disease. Tilapia lake virus (TiLV) could be considered as one of the most dangerous emerging viruses affecting warm water aquaculture of Nile tilapia. This pathogen has a global reach with a yet to be defined host range. The aim of this study was to assess the potential for TiLV to infect salmonid hosts in a range of water temperatures which can be reached during summer heatwaves in Continental Europe. For this, it was established that TiLV can replicate in vitro in salmonid cells over the wide temperature range of 15 °C to 25 °C. The susceptibility of rainbow trout and brown trout juveniles to infection with TiLV was investigated in infection trials based on cohabitation and on intraperitoneal injection of the virus in elevated water temperatures of 20 °C and 25 °C. These experiments showed that if the ability of the virus to enter the organism is considered, the susceptibility of rainbow and brown trout to the virus is low. The exposure of these salmonids to the virus by cohabitation did not lead to high virus loads in the liver and brain. However, the permissivity, i.e. the ability of the virus to replicate in the fish body, is high, because IP-injections of TiLV led to a high virus replication in internal organs. Therefore, TiLV could have some pathogenic potential in salmonids which might be exacerbated by climate change and anthropogenic activities."
"Starch-Reinforced Vinylogous Urethane Vitrimer Composites: An Approach to Biobased, Reprocessable, and Biodegradable Materials","Universität Hamburg, Chulalongkorn University, Helmholtz-Zentrum Hereon",2023,"© 2023 The Authors. Published by American Chemical Society.Vitrimers represent permanent and dynamic polymer networks at the same time. The combination of dynamic covalent bonds and widely available, biodegradable, and biobased raw materials enables new polymers with an excellent carbon footprint, mechanical properties, and outstanding features in terms of multiple recycling methods, e.g., thermomechanical, chemical, and biological reprocessing/reusability. Natural corn starch granules have been surface-modified by an acetoacetylation reaction without using any additional solvent and maintaining the inner semicrystalline structure, giving a polyfunctional cross-linker for starch-reinforced vitrimer composites. Vinylogous urethane vitrimer matrices were synthesized by the condensation reaction of fully acetoacetylated glycerol and different diamines, while glycerol and the diamines were deliberately selected as potentially biobased raw materials. Seven different matrix vitrimers were synthesized with a content of 0-70 wt % of modified starch and investigated in terms of their thermal and mechanical properties. In total, 20 elastomeric and thermosetting materials have been prepared, exhibiting high elastic moduli of 2 GPa with short stress relaxation times and a high content of modified starch up to 70 wt %. The composites show low swelling ratios, suppressing the natural gelatinization of starch in water. Moreover, suitable thermomechanical, chemical, and enzymatic recycling methods for closed-loop cycles, remolding, reusability, and biodegradability were developed."
GIS-based potential assessment of floating photovoltaic systems in reservoirs of Tamil Nadu in India,"Independent Researcher (Structural Engineering), Chulalongkorn University, University of Naples Federico II",2023,"© 2023 The Author(s). Published by Oxford University Press on behalf of National Institute of Clean-and-Low-Carbon Energy.Floating photovoltaic systems (FPVs) are one of the emerging renewable-energy technologies suitable for implementation in land-scarce areas around the world. The installation of FPVs in water bodies in highly populated countries such as India will improve renewable-energy production with added advantages in terms of efficiency, water savings and reduced carbon emissions. In this context, the present study aims to identify suitable reservoirs for solar energy production using FPV technology in Tamil Nadu, India using geographic information system techniques. A total of 118 reservoirs located in the study area were considered. The results have shown that the implementation of FPV systems will significantly improve the production of renewable energy. The most suitable reservoirs with hydroelectric power plants for hybrid FPV implementation and their potential to reduce water evaporation and carbon emissions are presented. The results reveal that hybrid systems will generate 1542.53 GWh of power annually and also save 36.32 × 106 m3 of water every year. The results of this investigation will aid in fulfilling sustainable energy production in India, and the methodology presented may be useful for the analysis and prioritization of reservoirs for the implementation of FPV all over the world."
Roles of qseC mutation in bacterial resistance against anti-lipopolysaccharide factor isoform 3 (ALFPm3),"Mahidol University, Mahidol University, Chulalongkorn University, Chulalongkorn University, Kasetsart University",2023,"© 2023 Khunsri et al.Propelled by global climate changes, the shrimp industry has been facing tremendous losses in production due to various disease outbreaks, particularly early mortality syndrome (EMS), a disease caused by Vibrio parahaemolyticus AHPND. Not only is the use of antibiotics as EMS control agents not yet been proven successful, but the overuse and misuse of antibiotics could also worsen one of the most challenging global health issues-antimicrobial resistance. To circumvent antibiotic usage, anti-lipopolysaccharide factor isoform 3 (ALFPm3), an antimicrobial peptide (AMP) derived from the shrimp innate immune system, was proposed as an antibiotic alternative for EMS control. However, prolonged use of AMPs could also lead to bacterial cross resistance with life-saving antibiotics used in human diseases. Here, we showed that ALFPm3-resistant strains of E. coli could be induced in vitro. Genome analysis of the resistant mutants revealed multiple mutations, with the most interesting being a qseC(L299R). A study of antibiotic susceptibility profile showed that the resistant strains harboring the qseC(L299R) not only exhibited higher degree of resistance towards polymyxin antibiotics, but also produced higher biofilm under ALFPm3 stress. Lastly, a single cell death analysis revealed that, at early-log phase when biofilm is scarce, the resistant strains were less affected by ALFPm3 treatment, suggesting additional mechanisms by which qseC orchestrates to protect the bacteria from ALFPm3. Altogether, this study uncovers involvement of qseC mutation in mechanism of resistance of the bacteria against ALFPm3 paving a way for future studies on sustainable use of ALFPm3 as an EMS control agent."
Modelling the impact of climate change on dengue outbreaks and future spatiotemporal shift in Pakistan,"Health Services Academy, Ministry of Climate Change, National University of Sciences and Technology (NUST), International Centre for Integrated Mountain Development (ICIMOD), Federal University of Itajubá (UNIFEI), Federal Government Polyclinic (PGMI), National Institute of Health, Chulalongkorn University",2023,"© 2022, The Author(s), under exclusive licence to Springer Nature B.V.Climate change has a significant impact on the intensity and spread of dengue outbreaks. The objective of this study is to assess the number of dengue transmission suitable days (DTSD) in Pakistan for the baseline (1976–2005) and future (2006–2035, 2041–2070, and 2071–2099) periods under Representative Concentration Pathway (RCP4.5 and RCP8.5) scenarios. Moreover, potential spatiotemporal shift and future hotspots of DTSD due to climate change were also identified. The analysis is based on fourteen CMIP5 models that have been downscaled and bias-corrected with quantile delta mapping technique, which addresses data stationarity constraints while preserving future climate signal. The results show a higher DTSD during the monsoon season in the baseline in the study area except for Sindh (SN) and South Punjab (SP). In future periods, there is a temporal shift (extension) towards pre- and post-monsoon. During the baseline period, the top ten hotspot cities with a higher frequency of DTSD are Karachi, Hyderabad, Sialkot, Jhelum, Lahore, Islamabad, Balakot, Peshawar, Kohat, and Faisalabad. However, as a result of climate change, there is an elevation-dependent shift in DTSD to high-altitude cities, e.g. in the 2020s, Kotli, Muzaffarabad, and Drosh; in the 2050s, Garhi Dopatta, Quetta, and Zhob; and in the 2080s, Chitral and Bunji. Karachi, Islamabad, and Balakot will remain highly vulnerable to dengue outbreaks for all the future periods of the twenty-first century. Our findings also indicate that DTSD would spread across Pakistan, particularly in areas where we have never seen dengue infections previously. The good news is that the DTSD in current hotspot cities is projected to decrease in the future due to climate change. There is also a temporal shift in the region during the post- and pre-monsoon season, which provides suitable breeding conditions for dengue mosquitos due to freshwater; therefore, local authorities need to take adaption and mitigation actions."
